topic, wiki
javascript,User_scripts
python,PYTHON
android,Mobile_access
react,React
php,Philippine_peso
nodejs,NodeJs
java,WikiProject_Java
golang,Go_(programming_language)
ios,IOS_(disambiguation)
deep-learning,Deep_learning
docker,Gary_Dockery
machine-learning,Machine_learning
swift,WikiProject_Taylor_Swift
go,GO
typescript,Typescript
tensorflow,Tensorflow
ruby,Ruby_(talk_show)
hacktoberfest,-1
linux,Linux
vue,Vue
api,Apis_of_Argos
cli,CLI
rust,Rust
css,CSS
kubernetes,Kubernetes
react-native,React_Native
angular,Angular
r,Adam_Ro
security,User_account_security
kotlin,Kotlin
library,The_Wikipedia_Library
macos,MacOS
laravel,Laravel
python3,-1
json,Json
redux,Redux
c,C
html,HTML
aws,Amazon_Web_Services
webpack,Webpack
csharp,C_sharp
cpp,Cpp
database,Database
windows,WINDOWS
pytorch,PyTorch
reactjs,React_(JavaScript_library)
graphql,GraphQL
blockchain,General_sanctions/Blockchain_and_cryptocurrencies
computer-vision,Computer_vision_footer
vuejs,Vue.js
node,WikiNode
ethereum,Ethereum
testing,Sandbox
game,Gaming_the_system
unity,Unity
framework,FRAMEWORK
flutter,Flutter
nlp,NLP
bot,Bots/Noticeboard
electron,Electron
scala,Scala
mysql,MySQL
wordpress,WordPress
dotnet,.NET_Framework
keras,Keras
mongodb,Mongodb
android-library,-1
ui,Ui
tutorial,Introduction
http,HTTP
c-plus-plus,C++
django,Django
animation,WikiProject_Animation
shell,CONFIG.SYS
vim,ViM
plugin,Plug-in
neural-network,Artificial_neural_network
web,WeB
git,James_Gitz
rails,Rails
elixir,ELIXIR
markdown,Markdown
github,Github
awesome,Awesome
boilerplate,Boilerplate
bitcoin,Bitcoin
objective-c,Objective-C
bootstrap,Bootstrap
arduino,Arduino
raspberry-pi,Raspberry_Pi
postgresql,PostgreSQL
cryptocurrency,Cryptocurrencies
redis,Redis
bash,BaSh
serverless,Serverless_computing
data-science,Data_science
chrome-extension,Google_Chrome
c-sharp,C_Sharp
monitoring,Monitoring
theme,Theme
unity3d,Unity3d
spring-boot,Spring_Framework
material-design,Material_Design
firebase,Firebase
ansible,Ansible
haskell,Haskell
sql,SQL
terminal,Terminal_Event_Management_Policy
rest-api,-1
awesome-list,-1
jquery,JQuery
visualization,Visualization
lua,Lua
es6,ECMAScript
dart,Diversity_arrays_technology
express,EXPRESS
image-processing,Digital_image_processing
opencv,OpenCV
